2P2Equals5,Herr_Leverkuhn
RightRedReturn,RichardGrenell
frubanoid,joncoopertweets
OfficialFreeTrn,RichardGrenell
Duncan_TheFox,SethAbramson
behling_holly,dbongino
Warsywarsy,RichardGrenell
ChooChooLife,RichardGrenell
Terri_1333,SoCalEdgyGal
Counterpointsp2,RichardGrenell
_JRS79,RichardGrenell
gohar_kanwal,AmraButt11
willbarrett_1,PhoenixEvCoach
Exposed_by_Rep,dbongino
SpiderResister,lesleyabravanel
jfrankcarr,RichardGrenell
adorablemcyouth,sinseoks
docramsey,RichardGrenell
LUVMYTOYS22,brucemartin68
kell1077,RichardGrenell
Edwinq4769,dbongino
SidneyPepper,dbongino
MODyssey22,RichardGrenell
SunilKumarAus,RichardGrenell
georgew95304553,RichardGrenell
VernonHelvey,langdaleca
jsellison23,chrissteinplays
lnicola1231,RichardGrenell
LarryG70361250,RichardGrenell
Lovely_Infidel,RichardGrenell
MaryReillync,RichardGrenell
DOTUS111,dbongino
asegov77,RichardGrenell
ClaycombMatt,dbongino
JimStidhamJr,RichardGrenell
Lilibeth_Paola,bigshitxtalker
forSomethingIs1,RichardGrenell
DAWNSTUTESMAN,RichardGrenell
diana_budy,dbongino
Dixy_Normous_,dbongino
DavidTCarlisle1,RichardGrenell
RoseDC11,THeinrich22
GPAWALTON,RichardGrenell
Veegerbeeper,Air_Rhodesia
KLisack,RichardGrenell
JimRobinson44,RichardGrenell
mylesxfrancis,crisis_homeless
jmilr1839,CallingBSonU
TheriotChristy,RichardGrenell
my87srx250,RichardGrenell
yarbrough_becky,gaslightingus2
SjOpinions,Imincredible101
RealGern,dbongino
Debi_D_Bryant,SethAbramson
missnormagene,RichardGrenell
jellybeannobuby,RichardGrenell
balramsuhane,apparrnnaa
2021_free,BonniBK
jeepgirl_1029,LeslieM3355
Cclemons2Connie,dbongino
DanZaffuto,RichardGrenell
heeraman98,fgautier26
graydogmama,RichardGrenell
raven_schwartz,dbongino
SalonEuro,RichardGrenell
lcook74,nota_snowflake7
SunilKumarAus,RichardGrenell
Digisoldier369,Sun_Q_Tzu
NavyMojo,PartymanRandy
kenna88899464,RichardGrenell
mabneyforreal,RichardGrenell
LaraLandX,vexwerewolf
ThomasDennison1,dbongino
phi_ia,RichardGrenell
JohnSymons,RichardGrenell
_davy_b,NuanceBro
tcoreagain,AdamCC75
JanetHilgers,dbongino
butchdempsey,RichardGrenell
Nana2chainz,intenseCA
CraigR3521,RichardGrenell
mremmulp,rewillson717171
JordanT247,RichardGrenell
barula,RichardGrenell
ahmiller1961,RichardGrenell
momsha56,reaIdonaIdtripe
1stephx,dbongino
EricKibodeaux,AppSame
JBB4768,RichardGrenell
eckert_mark,DrGJackBrown
starrbasket,dbongino
GreerMel,lenedgerly
BillditUSA,RichardGrenell
susankfletcher,Sun_Q_Tzu
virgo2757,RichardGrenell
social789456,RichardGrenell
kacrary2,RichardGrenell
Libertea47,RichardGrenell
TexLady2,RichardGrenell
User_Name_Null,Sabrina67408695
JoEdmondson3,RichardGrenell
edmundson_ian,RafiLetzter
SunilKumarAus,RichardGrenell
ReaLindaSteding,RichardGrenell
NLB1971,RichardGrenell
Robert93276857,dbongino
barbaracorigli1,RichardGrenell
Raven_fifi,RichardGrenell
MAGA_Arlene,RichardGrenell
CynthiaDiane11,Sun_Q_Tzu
RTR_Chris,RichardGrenell
fore_bee,Sun_Q_Tzu
moscowlilac,RichardGrenell
danmaccol,RichardGrenell
EblingJr,dbongino
LDMartin1959,dbongino
7KAC6,chadfelixg
SalehAl_Shaikh,TS_Observer
Be__Humane,DrGJackBrown
pbv2103,dbongino
Jarvis2503,Margare14571757
writingMaine,ArtieVandelay1
meldb71,di_plora
DonHans54265931,RichardGrenell
AnnaL1776,RichardGrenell
cathyharris1116,RichardGrenell
ronmiller783,RichardGrenell
michelleoverby2,dbongino
jjmukit,DrGJackBrown
4allusapatroits,dbongino
Andrewitz,dbongino
SeanKea36728465,RichardGrenell
bettybooptru2,RichardGrenell
CandleOfHope77,RichardGrenell
TellerCheryl,DiamondandSilk
RinoNeed,RichardGrenell
exseculer,fgautier26
sliggett29,dbongino
mallwalker3,dbongino
Jflo622,calmdown088
Jmconger65,RichardGrenell
VanWagoner,Hoosiers1986
HollyHunka,tleehumphrey
CodyCoyote64,RAZ0RFIST
LAURAda28051967,DrGJackBrown
willbarrett_1,Microsingular
pflyer423,LadyAnon5
bunch1243,dbongino
janalizzy,RichardGrenell
JillRooks7,RichardGrenell
jellybeannobuby,RichardGrenell
carogonza,mary4ce
no05071730,RawheaD
MaryReillync,dbongino
RealMikeMichail,RichardGrenell
abcunlimited1,fgautier26
BearBeverly,RichardGrenell
core1783,RichardGrenell
NJLefty67,DrGJackBrown
michelleoverby2,RichardGrenell
DuchessofDrivel,HerveyRennie
DyonDyon12,tleehumphrey
DittoDittos,DrGJackBrown
depstablehrgen,RichardGrenell
_pjbrown,RichardGrenell
mimi_calm,dbongino
TikiMaximus,RichardGrenell
splatoontang,RichardGrenell
PerryBullock,RichardGrenell
TN_Girl_4_Life,dbongino
coldfear,NatalieJHarp
J12Young,RichardGrenell
pflyer423,Rebbey2
kap_chan,RichardGrenell
TamzDam,RichardGrenell
LarrywAustin1,RichardGrenell
NJLefty67,Strandjunker
BlueWaterPalms,RichardGrenell
mary44614,RichardGrenell
JoeDMillard,RichardGrenell
AmericanDreamMI,RichardGrenell
Daysend10,DrGJackBrown
DonahueFred,RichardGrenell
ChemelRoger,RichardGrenell
RealWoodyVanErk,LisaMei62
DrVanceHerman,RichardGrenell
cathyjohnson_61,murray_nyc
NJWomen4Trump,RichardGrenell
irishgalartist,RichardGrenell
colinsdav,RichardGrenell
dollarbill49,EliseStefanik
_pcantagonista,RichardGrenell
krish_catchy,fgautier26
OlderAlaskan,dbongino
2amyk,LeslieM3355
AusbonTony,nolagirl80
gbonagofski,RichardGrenell
ghamilton56,DrGJackBrown
jccheer71,RichardGrenell
PDXfanatic,DrGJackBrown
mdr651,dbongino
CJACOLPITTS,PlisskenVon
ZiffyKat,RichardGrenell
MaloneBBdad,RichardGrenell
earlenepifer,DianePiette1
21M_LTD,officialmcafee
TxSaya,RichardGrenell
Tonibarker17,Tamaralynn212
Generaloveissii,RichardGrenell
JeffASchenk,bkb525
robbofett,RichardGrenell
NurseCeeCee,AdamCC75
sunsetflyers,dbongino
mitch8569,officialmcafee
12Tulip3,chadfelixg
SSBI12,RafiLetzter
MyOwlsHoot,RichardGrenell
HaleBingrocks95,joncoopertweets
Troy89298611,RichardGrenell
YHWHisGod4ever,pharmdjoe
AnnieGranny8246,dbongino
gbalcaz1,joncoopertweets
Lynn_J_R66,RichardGrenell
ReaLindaSteding,RichardGrenell
3172jam,RichardGrenell
GreerMel,lenedgerly
ginnylourn,RichardGrenell
NaplesRocks,Margare14571757
CovfefeCrusade1,RichardGrenell
dfeltner11,RuleChicago
LaurenHailey201,RichardGrenell
rmikemcgill111,dbongino
Hey_joeb,DrGJackBrown
revprez,jimduey
weekdayhiker61,dbongino
sergearuzeck,DrGJackBrown
socha_mike,RichardGrenell
AllOneUSA,AllOneUSA
DBean46,joncoopertweets
Dougsjourney7,dbongino
m291982,dbongino
DavidSnodderly,David_Bossie
Favygaint,dbongino
CdnCheryl1969,AdamCC75
summie_time,RichardGrenell
Lonnie_Lala,EliseStefanik
PerryBullock,dbongino
platom99999,CurtisHebert
tintimmymustach,RichardGrenell
GuyBassin,RichardGrenell
RealSaavedra,RichardGrenell
CarylAcaryl,RichardGrenell
Pete11139964,MyVoterPledge
GMAN31982,dbongino
birdiebh,ColMorrisDavis
joy_beatty,prayerfeathers
pgw611,ArmyDavido
GAYRIGHTY,RichardGrenell
FranklinDRoman1,dbongino
SRDijk,RichardGrenell
faxoverfeelings,RichardGrenell
hutchlolo,justine_clout
MyrnaDawn,morningmika
Joannem777,TruthDancer210
starrbasket,RichardGrenell
Crug1971,RichardGrenell
bingyboingie,RichardGrenell
RealGreatBatsby,RichardGrenell
greensymons,murray_nyc
LombardLoyLand,heybrucewright
DeathProofUSA,RichardGrenell
AusbonTony,DanSlott
LindaZumbiel,prayerfeathers
StevenTatsak,MrFly187
trofeewyf,RichardGrenell
leftsucks2,RichardGrenell
ldp7511,dbongino
NaplesRocks,ThucydidesTried
ginny_brett,DrGJackBrown
buckeye36,dbongino
followthe_cash,dbongino
RaRa9120,dbongino
Jack84242662,RichardGrenell
millersaraj,ArtieVandelay1
MollyDiamond28,RichardGrenell
zippitydooda4,DrGJackBrown
KIR_bigg50,chadfelixg
AnnaL1776,RichardGrenell
LilyRex,Sun_Q_Tzu
JockoJcovfefe,dbongino
devsshw,RichardGrenell
Beenracing,dbongino
heatherabarnes,LeslieM3355
_pjbrown,RichardGrenell
meltsand,dbongino
robytwons,TwotoneStrauss
_pcantagonista,dbongino
juckniess_linda,RichardGrenell
magabitch123,dbongino
PeanutsMom325,chadfelixg
imjustafan630,ArtieVandelay1
JamiJm,DrGJackBrown
ElmerSilva11,dbongino
mitzidstam,dbongino
IknowNo24994942,RichardGrenell
sonnyMEDR,ColMorrisDavis
Lesdesplorable1,RichardGrenell
MariaMisilewich,SethAbramson
LoverOfPups777,RichardGrenell
shhxhd11,ArmyDavido
RightRedReturn,RichardGrenell
DanielSThomason,RichardGrenell
monetkw2018,dbongino
EblingJr,RichardGrenell
STurklebvg,STurklebvg
care_myers,RichardGrenell
scoundral_days,RichardGrenell
missmaryzrblu,DrGJackBrown
YHWHisGod4ever,MatthewAdessa1
HerbalGoddess,dbongino
la700,dbongino
Pups4POTUS,dbongino
familyliss,RichardGrenell
AngelOfTruth16,RichardGrenell
MichelleLavoie,Strandjunker
cliniqbonustime,RichardGrenell
Thaysvols,CallingBSonU
TheSailingDream,RichardGrenell
BAttLEstAR2004,RAZ0RFIST
YosemiteSam1776,RichardGrenell
BillBoatman3,RichardGrenell
YankeeFanBk,dbongino
JohnYeong3,dbongino
Trace_mann,dbongino
hbduah,ColMorrisDavis
marycjoyce2,lavist1
val26534947,dbongino
MattParscale,dbongino
Chana_M_56,RichardGrenell
ryanlm92,RichardGrenell
lukegreen439,dbongino
ReaLindaSteding,RichardGrenell
MrBiggreg,RichardGrenell
RightRedReturn,dbongino
Ziggyzoo00,Hoosiers1986
convsys,smccinoz
dicey631,Cdub470
CameronConant,CameronConant
Dukylicious,officialmcafee
Matttrina,SodaCtySheepdog
YHWHisGod4ever,mattowanHP
BlondieKAG,LydiaLynn89
_agd,RichardGrenell
Gitte35,RichardGrenell
AusbonTony,BillieO2
Jflo622,DeltaBravoUSA
convsys,Out5p0ken
DSwenTx,RichardGrenell
TheOlifant,TheTweetOfGod
MaeGwennie,joncoopertweets
MaeMartini,RichardGrenell
1way4u,RichardGrenell
politicsdiva817,eliehonig
BAC30076,RichardGrenell
MarcusQuintet,hmcd123
JoyceEScott1,RichardGrenell
hXoY6WBddRVk2if,RichardGrenell
cathjhoyt,RichardGrenell
mmagasich,taradublinrocks
atishayyjain,RichardGrenell
allynewman,DiamondandSilk
DJW0818,RichardGrenell
Marie32231633,Strandjunker
USAPouncer,RichardGrenell
entrepreneursbe,MamulaVickie
naenae61_grp,RichardGrenell
TimMoses9,RichardGrenell
binks41182539,escapedmatrix
NancyFahy,AdamCC75
CandleOfHope77,RichardGrenell
buckeye36,RichardGrenell
mos1274,questlove
ClayWilkinson4,RichardGrenell
USAPouncer,RichardGrenell
shaheylah,RichardGrenell
edwil,Strandjunker
jarrettat,DrGJackBrown
sunny2day4,Out5p0ken
MesterRavioli,RichardGrenell
RoLynn75,Derameth
Bonjin_21,RawheaD
OhSusieCue,LionelMedia
Brongreen3,RichardGrenell
evesully50,Out5p0ken
william_sorsby,tj_tweets
GregoryJSimmons,justine_clout
indep_mind,RichardGrenell
GOPecker,DrGJackBrown
sstwxx,therealmikedean
WallNuttz23,dbongino
ormond_king,SandraDunn1955
CALVin_Checkem,SethAbramson
juliew38138,dbongino
beachbummombo,SebGorka
charleneshughes,dbongino
GinacoteGina,RichardGrenell
Books_Anon,RichardGrenell
112377Be,RichardGrenell
gina_durosko,RichardGrenell
Bernadette2995,dbongino
JoniDeSmet,RichardGrenell
LMWatsonNV,RichardGrenell
Seattlecrab,LeesaRaaum
MiMi1PokerDiva,DrGJackBrown
shaheylah,RichardGrenell
PasoFinoTrain,dbongino
nia516,DrGJackBrown
KettleKornTexas,RichardGrenell
karenfadus1,murray_nyc
iammix24,RichardGrenell
fitnessinmind,Cube77548440
okmaster_chuck,RichardGrenell
jtLOL,PartymanRandy
ChosenSigner,vexwerewolf
Rocketj21,reallyjustagirl
NotUnderdog,hughhewitt
realistic_view,RichardGrenell
DeeRobi31628176,dbongino
MARLENE51191783,RichardGrenell
joeleyare,chadfelixg
ClayWilkinson4,dbongino
silverbulletguy,RichardGrenell
heroesofmine,Strandjunker
nymnbecile,dbongino
sarainitaly,chadfelixg
jbbrucken,RichardGrenell
Englshgrl61,RichardGrenell
coolmichael0000,dbongino
ljs1479,RichardGrenell
mylesxfrancis,B737CA
jadedview69,DrGJackBrown
tpwk5sos,DrGJackBrown
mason4922,AdamCC75
Grower76,dbongino
bdorx3,RichardGrenell
stang289,DeltaBravoUSA
seenyourluna,langdaleca
dmon4ever,Debbie_Vesino
hstexas80,dbongino
Laurie38115923,dbongino
gordito0791,Sun_Q_Tzu
nolan_thorn,RichardGrenell
AnnaL1776,RichardGrenell
WriteHerIn2020,unclejeet
omarfortrump,RichardGrenell
17BucksPAtri0t,RichardGrenell
CandleOfHope77,RichardGrenell
MikeJBarnes,RichardGrenell
social789456,RichardGrenell
whatinthe_sam,ArtieVandelay1
DanLimmert,AdamCC75
_____K92______,dbongino
indep_mind,MagaKarma1
kenwah,joncoopertweets
WilliamTaft17,RichardGrenell
rmichellelusk,RichardGrenell
_JRS79,RichardGrenell
Canyon4,RichardGrenell
ItsallaboutTRU2,RichardGrenell
dejae02,dbongino
hXoY6WBddRVk2if,RichardGrenell
LoverOfPups777,RichardGrenell
summie_time,RichardGrenell
littladyfizzbit,DrGJackBrown
Holiday4j1,dbongino
AmraButt11,AmraButt11
Scowsailor21,RichardGrenell
mylesxfrancis,fernando_trump
4ThePeople7,dbongino
ElizaJa32993725,ScottPresler
melissaNYmiller,cjomojo
ohmselec,dbongino
KCGSODMHWJFan,RichardGrenell
whatinthe_sam,ArtieVandelay1
hXoY6WBddRVk2if,RichardGrenell
Siree444,sophie_inBflo
jameskthompson1,goldietaylor
buckn1_sue,dbongino
JunkoPatsye,laura0108NJ
ddavid_lewis,joncoopertweets
colfendeb,dearsusanbranch
MarkRpuente,joncoopertweets
ferretts1944,RichardGrenell
nolan_thorn,RichardGrenell
judizydeco,Starsstuff777
sunny2day4,murray_nyc
la700,SoCalEdgyGal
calder_price,David_Bossie
Sjwebster500gm1,dbongino
good1_lucy,PersistentOne3
GaryZPon,dbongino
TrboKrtAtl,dbongino
MANNYPIMENTEL73,RichardGrenell
Team17American1,RichardGrenell
MattParscale,RichardGrenell
indep_mind,vinnieoftexas_
FloJim21,RichardGrenell
Wes63724791,RichardGrenell
Heurist,dbongino
mswaller48,RichardGrenell
judizydeco,nothingtoosee0
ginger_consult2,RichardGrenell
BigBertieT,RichardGrenell
mylesxfrancis,MikeJBarnes
Evieloucrawford,chiIIum
E_LaloSalamanca,RichardGrenell
USAPouncer,RichardGrenell
DeeRobi31628176,RichardGrenell
MarciaDaughtre1,B52Malmet
Owe10016831,MyCaramel7
Maur2009,RichardGrenell
UmpquaO,dbongino
reddoor2000,dbongino
foxboro48,RichardGrenell
nancyelb,RichardGrenell
Seattlecrab,BarbaraThayer1
SeaLevelLies,Styx666Official
AnonSculptures,RichardGrenell
indep_mind,vinnieoftexas_
kurb786_ManUtd,BonniBK
jcoppage0,RichardGrenell
flip5coins,David_Bossie
MagicMan247,TabithaOXO
ElaineFox,dbongino
Only1Tabatha,dbongino
3172jam,RichardGrenell
Snowy20142,RichardGrenell
andrewdwilliams,questlove
roxielolaruby,RichardGrenell
Texas_Trump,dbongino
PaulBangor,dbongino
Lookupcolorado2,RichardGrenell
FrazziTL,RichardGrenell
Jack84242662,RichardGrenell
OurOneDayFarm,RichardGrenell
MoreWhit,DrGJackBrown
JonathanProenz1,dbongino
raiderpal,RichardGrenell
jamiecoleman57,KeepLookingUp6
bcordrey60,joncoopertweets
Morni4012,RichardGrenell
Cassius201062,RichardGrenell
PopwellRita,T_S_P_O_O_K_Y
hank388,RichardGrenell
DavidDCarpenter,RichardGrenell
TrudieLeigh,dbongino
Morse2009Morse,RichardGrenell
Trace_mann,RichardGrenell
rlh_319,RichardGrenell
bookdweller,RichardGrenell
arealpalhacito,RichardGrenell
Lookupcolorado2,RichardGrenell
mimi_dog2cat,RichardGrenell
belindawooley,dbongino
ThanQ717,dbongino
holpearsongates,murray_nyc
StaceyM78844177,RichardGrenell
dixie_kat,dbongino
GunsnSandwitchs,RichardGrenell
humspot1,RichardGrenell
hardestofrock,RichardGrenell
dmon4ever,DavidSm58117071
JohnBur38340123,RichardGrenell
ThorneColleen,RichardGrenell
NatalieTexas,montaga
shaheylah,RichardGrenell
SSDogging,RichardGrenell
michaelscolvin,RichardGrenell
cckubemarie,ColMorrisDavis
Lookupcolorado2,RichardGrenell
deidre_newcomb,RichardGrenell
betsstuff,RichardGrenell
CarylAcaryl,RichardGrenell
dsaidit1,RichardGrenell
MstallMN,RichardGrenell
jamiecoleman57,CCPNBC
maancomom123,dbongino
ErikFazbear,PartymanRandy
collagingkriste,PartymanRandy
frubanoid,paulcshipley
coopz111,dbongino
nolan_thorn,RichardGrenell
MartinH23187507,RichardGrenell
WendyB50336369,DrGJackBrown
PatriotBluesT,deanomight1
DStar98843517,RichardGrenell
Vulture_8888,langdaleca
angulargyrus,joncoopertweets
IowaWizards,RichardGrenell
LindiMills,RichardGrenell
BrownAmerican2,RichardGrenell
edleddy66,RichardGrenell
JordanT247,dbongino
AliceRiversong,JohnGunson
Jingjan84871565,dbongino
formercombatvet,RichardGrenell
Iam_BWill,Toniesha_Renee
nancyelb,RichardGrenell
tomcatright,RichardGrenell
RightRedReturn,RichardGrenell
Ilscorpio,dbongino
4katzBeth,RichardGrenell
GeorgeG75785573,dbongino
Owe10016831,littlebqqm
lunamoongrey,RichardGrenell
ReyolaB,iamjeffreyjason
chazmanian01,dbongino
judizydeco,Dennisc20217541
DabneyPorte,RichardGrenell
bostndeplorable,RichardGrenell
TWITMO_INMATE,RichardGrenell
EyeVey,RichardGrenell
cheri_null,RichardGrenell
lcarb4all,RichardGrenell
KristaMunizich,ColMorrisDavis
AishaKh00368236,Q1Z2W
TheFnDoQtor,RichardGrenell
foxboro48,RichardGrenell
Maur2009,rewillson717171
kavorkain,RichardGrenell
Kamiphenonymous,chadfelixg
KenLucas1,DrGJackBrown
JT47PT,RichardGrenell
maggieschoon,dbongino
glock9745,RamoneSlater
mikey1701,RichardGrenell
JustAGirlIn415,RichardGrenell
Skippingdog,debrasmith
indep_mind,Aminlv
lawksa,fayez_101
LilRichie420,RichardGrenell
CrackerALS,RichardGrenell
jamiecoleman57,PatriotMartin45
Bellagrey0,lghtworker
Spider__Eye,dbongino
rcevat69,DrGJackBrown
sssawera,apparrnnaa
bodymankra,RichardGrenell
mikenbwood,Out5p0ken
jodieluvhandles,RichardGrenell
stilicho359,dbongino
e_webweaver,pabli_wi
frog_holly,RichardGrenell
slizzzzzzzard,ziwe
Wilson4E,RichardGrenell
Lynn_J_R66,RichardGrenell
embarassedtobea,NorthmanTrader
88roncro55,RichardGrenell
TheTruthSpinDr,RichardGrenell
JuliePorterj4,RichardGrenell
JoyceEScott1,RichardGrenell
dwpks1965,ASimplePatriot
grey_ghost47,dbongino
TrumpfanQ,Sun_Q_Tzu
MicheleCorrao8,RichardGrenell
VickiSc48497415,RichardGrenell
MerigoldDesigns,RichardGrenell
ManzDuayne,RichardGrenell
social789456,RichardGrenell
Sandramaffett3,RichardGrenell
binriv99,DrGJackBrown
soopertrev,RichardGrenell
satirist_indian,RichardGrenell
Suzanne11568987,RichardGrenell
4FreedomandBlue,dbongino
azkaren,RichardGrenell
behling_holly,RichardGrenell
indep_mind,SabaSivaguruna1
magaxxoo,1JohnEBravo
LaurenMAlbrecht,YourAnonNews
InternetNewsAg2,RichardGrenell
goldendoekd,Sun_Q_Tzu
JoniDeSmet,dbongino
AddHunsicker11,KevinColePFF
Ektor18022023,RichardGrenell
debra_bonanno,RichardGrenell
thoughtsnstuff2,RichardGrenell
Morse2009Morse,dbongino
grandmakim13,RichardGrenell
omarfortrump,RichardGrenell
ShazamABlama,joncoopertweets
Vote4Trumpin20,RichardGrenell
zsixkillerk,dbongino
iicrakdamirror,dbongino
nan_wiggins,DrGJackBrown
1patriotjeep,RichardGrenell
Richard11163438,prayerfeathers
ronnuke,RichardGrenell
JohnResistor,JohnGunson
KnicksNation22,RichardGrenell
Talikka,RichardGrenell
jamiecoleman57,jamestk789
archi1210,Team17American1
SpeakingBold,RichardGrenell
stellamaris325,TheAmericanVie1
NaplesRocks,dbongino
km11710,RichardGrenell
ZoeDog95748428,RichardGrenell
all_003,RichardGrenell
PerdeeBirdie,RichardGrenell
KarenPye15,officialmcafee
Linda94658244,dbongino
MarcelaKanae,RichardGrenell
jfpickett3,ColMorrisDavis
Patton_Fear_Not,DeltaBravoUSA
Nnaped1,RichardGrenell
UrdumbJ,ConlonTisch
beth4820,RichardGrenell
__sairy__,RichardGrenell
PamelaPffarrow,DrGJackBrown
clwindsor,DrGJackBrown
M1NDB3ND3R1,RichardGrenell
billycrash,RichardGrenell
GoFishLynn,DrGJackBrown
constanceregin,RichardGrenell
RulesIsabelle,QuareFellas
Hobbes_Too,ArtieVandelay1
RuinKids,RichardGrenell
SJDorothy,dbongino
TrishPorter16,RichardGrenell
d_park3264,RichardGrenell
TellerCheryl,RichardGrenell
bbgymmom,dbongino
Texan_4_Trump,RichardGrenell
JeffreyaMeier,RichardGrenell
mairnealachdha,RichardGrenell
GarikaiNharara,ColMorrisDavis
MerigoldDesigns,RichardGrenell
weslo1875,dbongino
ablebestcorrect,FordJohnathan5
zenj8,Debbie_Vesino
VoteIsAntidote,joncoopertweets
anchorman11,ClivetheClubGuy
IjoMorris,RichardGrenell
seagypsy1957,RichardGrenell
savi07298292,cruelanu
whatakuriosgirl,lesleyabravanel
see081480,RichardGrenell
mercedes017,RichardGrenell
LisaFahey3,RichardGrenell
Offendeddude,RichardGrenell
TimelessJules,Sun_Q_Tzu
Sangie44,RichardGrenell
bbmunchen,dmon4ever
HBHPatriot1,RichardGrenell
leeisteachr,RichardGrenell
KarenPye15,Styx666Official
DarleneRossi,RichardGrenell
DJV_Lucy,dbongino
glock9745,stephlax1
nkinghicks1,RichardGrenell
shadetreemedic,LydiaLynn89
Al2020KAG,RichardGrenell
grandmakim13,dbongino
Godluvupatriot,RichardGrenell
ReaganRising,dbongino
jules0616,dbongino
KenHansen23,RichardGrenell
Lorrdell12,dbongino
KAGjmn,dbongino
leopalacios10,joncoopertweets
MARILYN19556,dbongino
erinebal29,LydiaLynn89
scoundral_days,dbongino
User_Name_Null,BarbaraThayer1
StucknArizona,MWhite312
fxlozano,Hoosiers1986
trombonealex,questlove
UNCLESAMISCRYIN,dbongino
DavidTWilson31,dbongino
Toledoteaparty,dbongino
The_GSquared,dbongino
mjdallasblue,chadfelixg
__sairy__,B_Rush1776
FayClancy,RichardGrenell
sa8bda,RichardGrenell
akLlama22,LeslieM3355
mgray72531386,RichardGrenell
VoylesTimothy,RichardGrenell
MollyDiamond28,dbongino
rkrishna2k9,cruelanu
greensymons,Out5p0ken
hatesputin,KaivanShroff
mkues65,RichardGrenell
LibertaEst,rikijohns
ctmommy,dbongino
JeffASchenk,joncoopertweets
LisaFedUp2,RichardGrenell
Andrew089,NLDPatriot
PerdeeBirdie,RichardGrenell
Anti_Freedumbs,RichardGrenell
HarlieLisa,morningmika
EsquinaMirabal,RichardGrenell
UGHN4MGISEOK,murray_nyc
Lastonein66,SoCalEdgyGal
Malloryvilla1,RichardGrenell
AnastasiaZaw,nancyscola
HomegrownFaluyi,therealmikedean
KateMcCormickM2,RichardGrenell
DJMRBEST,questlove
behling_holly,Sun_Q_Tzu
KimCart32440126,DanaHoule
marla_ski,TIMENOUT
masina0527,RichardGrenell
shippusher,dbongino
salina71580662,TeamTrump
letitbe1966,DrGJackBrown
HardBoiledPika,Out5p0ken
CultTrump_45,RichardGrenell
KristenFaiola,dbongino
KathiLoveless,RichardGrenell
MerigoldDesigns,RichardGrenell
themechelle,DrGJackBrown
Waynesway2,LionelMedia
inthepinkgirl1,KaivanShroff
OhioWomen4Trump,RichardGrenell
seenyourluna,RichardGrenell
Ole_pappy,RichardGrenell
Cat_Luvs_Trump,RichardGrenell
MDilanian,dbongino
nancyelb,RichardGrenell
Ironcola,Ironcola
JabarieD,iamjeffreyjason
Jayhonea1,dbongino
val26534947,RichardGrenell
45strongsafe,dbongino
SeanLStrouse,dbongino
User_Name_Null,PatriotPennsy
DeborahOrona,RichardGrenell
sk8481,dbongino
MeowMeowVVoof,dbongino
jwilli52,Dr_Anonymous33
Maria15147394,prayerfeathers
phillipghutzman,dbongino
AggieDad2015,dbongino
TWITMO_INMATE,RichardGrenell
21stcenturycrim,RichardGrenell
RaRa9120,RichardGrenell
in4infor,RichardGrenell
Rashtra_Sevika_,PandeyJee77
eUUSeRKVQfAm7yP,alulbaiyt313
RosieRose507,dbongino
BravoKitty90,EliseStefanik
ScopeForCash,RichardGrenell
barcode70072922,dbongino
prettygurl85,goldietaylor
Katj512,LeslieM3355
EricoChili,RichardGrenell
msnightwriter,RichardGrenell
hurt_sd,RoArquette
formiker,RichardGrenell
edinssister,RichardGrenell
dine_2017,BonniBK
jenna_paulus,dbongino
OlderAlaskan,RichardGrenell
Wilson4E,RichardGrenell
weimrnr,dbongino
Stormielady73,RichardGrenell
Alec_M_Currier,Alec_M_Currier
mrshobbs58,RichardGrenell
SusanBedell,RichardGrenell
glenn_belot,RichardGrenell
chazmanian01,RichardGrenell
burton6361,kasey_rich
Frozen62106324,LaraPatriot
Wyofree1,dbongino
ladybugtalk,SebGorka
shippusher,RichardGrenell
markspringer753,RichardGrenell
john_mommers,RichardGrenell
mysugaman,joncoopertweets
GentryLaura,dbongino
regalrose2,murray_nyc
sk8481,RichardGrenell
shiculkaherself,TrueLibby
OHickry,RichardGrenell
Bob261048,dbongino
ernesto_tito,TheTweetOfGod
rsmale,BonniBK
sundanz63,MrWednesday11
_ImAK04_,Mr__Ayushmishra
DannyCole58,RichardGrenell
socialdistensxn,ArtieVandelay1
MarkReedy79,RichardGrenell
jazeemom,RichardGrenell
Alejandnm,Strandjunker
Gipper1981RME,RichardGrenell
LumenArtdude,RichardGrenell
BobTD30,dbongino
Big_Rodster,Sun_Q_Tzu
patechinois1,stang289
robothearab,PerspicaciousXY
survrad,dbongino
Susan88561097,RichardGrenell
ronmiller783,RichardGrenell
MAGAKAGMAGAKAG,dbongino
batdaddy521,SethAbramson
Dana03551711,chadfelixg
Snowy20142,RichardGrenell
markspringer753,RichardGrenell
Parker_Rush,DrGJackBrown
biasbreakdown,PartymanRandy
tammyonthetrain,dbongino
chbrkr,DrGJackBrown
DoctorCanDo,dbongino
MANNYPIMENTEL73,RichardGrenell
PerdeeBirdie,RichardGrenell
TxSaya,RichardGrenell
Starryillusionz,AdamCC75
MajorJeffJones,dbongino
stellamaris325,Hoosier951
BlondieKAG,OratorBlog
glapsvin,officialmcafee
dianabygrave,dbongino
joelstephens7,dbongino
susanjsmith2,RichardGrenell
DV99999,RichardGrenell
PatriciaDelan11,SebGorka
realdarkromance,oviosu
annemariehams,Out5p0ken
owengmcl,RichardGrenell
psalm82,BonniBK
daffysirod11,DrGJackBrown
